[INFO] [1778714463.257087740] [final_warehouse_scan_node]: FINAL WAREHOUSE SCAN NODE INITIALIZED
[INFO] [1778714463.270888458] [final_warehouse_scan_node]: Using /cmd_vel geometry_msgs/msg/TwistStamped only
[INFO] [1778714463.280304314] [final_warehouse_scan_node]: Subscribing to /odom and /detected_color
[INFO] [1778714465.508586253] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.239 err=-1.332
[INFO] [1778714465.563933565] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.249 err=-1.322
[INFO] [1778714465.642969666] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.254 err=-1.317
[INFO] [1778714465.667439140] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.254 err=-1.317
[INFO] [1778714465.712355143] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.264 err=-1.307
[INFO] [1778714465.756474553] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.274 err=-1.297
[INFO] [1778714465.808205819] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.279 err=-1.292
[INFO] [1778714465.856023011] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.289 err=-1.282
[INFO] [1778714465.903859340] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.294 err=-1.277
[INFO] [1778714465.964119925] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.304 err=-1.267
[INFO] [1778714466.008641219] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.309 err=-1.262
[INFO] [1778714466.053825582] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.314 err=-1.257
[INFO] [1778714466.122133881] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.319 err=-1.252
[INFO] [1778714466.162366151] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.324 err=-1.247
[INFO] [1778714466.214009308] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.334 err=-1.237
[INFO] [1778714466.253798521] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.339 err=-1.232
[INFO] [1778714466.312073649] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.344 err=-1.227
[INFO] [1778714466.421254893] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.349 err=-1.222
[INFO] [1778714466.452842568] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.349 err=-1.222
[INFO] [1778714466.470394165] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.354 err=-1.217
[INFO] [1778714466.502431305] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.369 err=-1.202
[INFO] [1778714466.558702058] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.379 err=-1.192
[INFO] [1778714466.599541831] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.384 err=-1.187
[INFO] [1778714466.648410756] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.394 err=-1.177
[INFO] [1778714466.703872290] [final_warehouse_scan_node]: Align aisle: x=-0.00 y=-0.00 yaw=-0.404 err=-1.167
