[INFO] [1778710800.233708087] [centerline_scan_node]: ================================
[INFO] [1778710800.241492468] [centerline_scan_node]: CENTERLINE SCAN NODE STARTED
[INFO] [1778710800.257497628] [centerline_scan_node]: Route: 1L, 2R, 3L, 4R, 5L, 6R, 7L, 8R, then exit aisle
[INFO] [1778710800.271666129] [centerline_scan_node]: Centerline x=0.0, scan rows y=-3,-1,1,3
[INFO] [1778710800.280143219] [centerline_scan_node]: ================================
[INFO] [1778710800.287436592] [centerline_scan_node]: Waiting for /odom...
[INFO] [1778710805.485967812] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710805.589448004] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710805.685142704] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710805.798323521] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710805.885458236] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710805.993538815] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710806.088821996] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710806.186011765] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710806.287536036] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710806.388470847] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710806.490862948] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710806.587681306] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710806.691742796] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710806.788304207] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710806.892189002] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710806.989302190] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710807.095194751] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710807.185469985] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710807.285168572] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710807.385058531] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710807.491544461] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710807.595787274] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710807.698000190] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710807.791801118] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
